time,soft_counts,hard_counts
55060.5,-0.000784,0.009545
55061.5,-0.01506,-0.006027
55062.5,-0.033535,-0.000848
55063.5,0.000368,0.003356
55064.5,-0.091876,-0.008214
55065.5,0.004394,0.011035
55066.5,0.040707,-0.010176
55067.5,0.013437,0.016357
55068.5,-0.012511,0.011412
55069.5,0.131428,0.032884
55070.5,0.028665,-0.001007
55073.5,-0.000357,-0.001771
55074.5,-0.00395,0.004365
55075.5,-0.04018,-0.01055
55076.5,0.021144,-0.00172
55077.5,0.00978,0.000994
55078.5,-0.008234,-0.002321
55079.5,0.021313,0.01016
55080.5,0.00267,0.010403
55081.5,0.014551,-0.001807
55082.5,-0.01112,-0.000558
55083.5,0.038387,0.019948
55084.5,-0.04894,-0.010979
55085.5,-0.005546,0.001243
55086.5,-0.034591,-0.004399
55087.5,0.001526,0.002228
55088.5,0.009651,0.004172
55089.5,-0.007215,0.004791
55090.5,0.016972,0.004947
55091.5,6.3e-05,-0.001536
55092.5,0.002829,0.006564
55093.5,0.006261,0.004654
55094.5,-0.001778,-0.000235
55095.5,0.011325,0.007541
55097.5,-0.008751,0.002289
55098.5,0.001993,0.001441
55099.5,0.018964,0.003006
55100.5,0.011762,0.010297
55101.5,-0.000653,-0.000613
55102.5,-0.000371,0.010696
55103.5,0.009964,0.00169
55104.5,0.018901,0.003615
55105.5,-0.026703,-0.010951
55106.5,0.029534,7.1e-05
55107.5,-0.008715,0.009767
55108.5,0.007269,0.014972
55109.5,0.017154,-0.00228
55110.5,0.033908,-0.000259
55111.5,0.016008,0.016805
55112.5,0.022467,0.015689
55113.5,-0.033072,-0.007295
55114.5,0.022305,0.002745
55115.5,0.00481,-0.008559
55116.5,0.020436,0.009425
55117.5,-0.030307,-0.002426
55118.5,0.010866,-0.012944
55119.5,0.031615,0.018743
55127.5,0.061756,-0.005808
55128.5,-0.000346,-0.006304
55129.5,-0.019468,-0.002723
55130.5,-0.007171,-0.004909
55131.5,-0.008993,0.000208
55134.5,0.018234,0.008541
55144.5,0.051388,0.045017
55147.5,0.023769,-0.010587
55148.5,0.008436,0.003539
55149.5,-0.010334,-0.002626
55150.5,-0.013543,-0.002844
55151.5,0.057558,0.002916
55152.5,-0.048145,-0.004882
55153.5,-0.009153,0.020174
55154.5,0.011548,0.00154
55155.5,0.004496,0.008129
55156.5,-0.021906,0.013243
55157.5,-0.019096,-0.008458
55158.5,0.027162,0.003451
55159.5,-0.015737,0.006389
55160.5,0.027406,-0.003164
55161.5,0.004648,0.007935
55162.5,0.022853,-0.000461
55163.5,0.017983,-0.000128
55164.5,0.006858,-0.002456
55165.5,0.023803,0.006139
55166.5,0.006866,-0.001496
55167.5,0.0065,0.000928
55168.5,-0.00324,-4.8e-05
55169.5,5.1e-05,0.003409
55170.5,0.002863,0.012222
55171.5,0.006928,0.00165
55172.5,-0.008825,0.002061
55173.5,-0.012411,0.006364
55174.5,0.022737,0.005745
55175.5,-0.010545,0.002762
55176.5,0.021301,0.005478
55177.5,0.032033,0.003055
55178.5,0.014642,0.001668
55179.5,0.011269,0.009232
55180.5,-0.006532,-0.005793
55181.5,-0.018945,0.006862
55182.5,-0.008423,-0.001487
55183.5,0.017327,0.002033
55184.5,0.018865,0.001269
55185.5,0.012166,-0.01105
55186.5,0.000325,0.000982
55187.5,0.000125,-0.006134
55188.5,0.012426,-0.007506
55189.5,4e-06,0.018025
55197.5,0.009926,-0.021878
55198.5,0.003716,0.008124
55199.5,-0.024044,-0.007617
55200.5,0.010815,-0.004238
55201.5,-0.009604,0.001332
55202.5,0.01617,-0.004248
55203.5,0.021786,0.001641
55213.5,-0.069691,0.015491
55214.5,-0.023987,0.006907
55215.5,0.005923,0.023394
55217.5,-0.000981,-0.010642
55218.5,0.005194,0.011895
55219.5,0.024785,0.008161
55220.5,0.020882,0.006779
55221.5,0.009086,-0.006422
55222.5,-0.026243,0.016186
55223.5,0.0084,0.016511
55224.5,0.020199,0.008771
55225.5,-0.004748,0.008682
55226.5,0.019435,0.004361
55227.5,0.006059,-0.011672
55228.5,0.000273,0.000708
55229.5,0.005044,0.001352
55230.5,-0.005618,0.001813
55231.5,0.00543,0.005286
55232.5,-0.011966,0.003774
55233.5,0.037499,0.009032
55234.5,0.006851,0.007112
55235.5,0.01159,0.000834
55236.5,-0.009017,0.004104
55237.5,0.012479,0.006091
55238.5,0.008773,0.002238
55239.5,-0.000859,0.007306
55240.5,0.005658,0.00219
55241.5,0.010809,0.014058
55242.5,0.002596,-0.000123
55243.5,-0.010606,-0.002216
55244.5,-0.016594,-0.005362
55245.5,-0.005316,-0.007396
55246.5,-0.022077,0.006232
55247.5,0.015452,0.01265
55248.5,0.027255,0.005292
55249.5,-0.018731,0.003924
55250.5,-0.007989,0.002473
55251.5,0.027065,0.011161
55252.5,0.002151,0.00013
55253.5,0.004784,0.006671
55254.5,0.030715,0.017799
55255.5,0.17147,-0.014013
55267.5,0.054764,-0.007781
55268.5,-0.007947,0.01948
55269.5,0.001829,0.010768
55270.5,0.154222,0.018264
55271.5,0.033815,0.001696
55272.5,0.039994,0.004305
55273.5,0.049115,0.001816
55274.5,0.007545,0.013186
55283.5,0.034987,0.016517
55284.5,0.006057,0.008044
55285.5,0.062694,0.018279
55286.5,0.068123,0.023255
55287.5,0.025716,0.02036
55288.5,0.008933,0.015317
55289.5,0.008897,0.002875
55290.5,0.000409,9.3e-05
55291.5,-0.01336,0.016922
55292.5,0.046415,0.010837
55293.5,0.021491,0.04132
55294.5,0.045174,0.016143
55295.5,-0.00448,0.023391
55296.5,0.009256,-0.001545
